"","ID Monitoreo","Fecha","Personal","Código","Código control","Tratamiento","Agua inicial","Altura","Crecimiento","Tasa de crecimiento","Tasa de crecimiento acumulada","Herviboría","Estado","Nuevas hojas","Flores","Frutos","Diámetro","Zona","Familia","Genero","Especie","Nombre común","Observaciones","Isla","Sitio específico","Latitud","Longitud","Sustrato","Altitud","Proyecto","Subproyecto","DAP","PlantingDate","age"
"51",12349,2014-04-16,"Estalin Jiménez",239,788,"Waterboxx®",15,46,2,0.14,0.33,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.23013698630137
"52",12350,2014-05-01,"Estalin Jiménez",239,788,"Waterboxx®",15,46,0,0,0.28,"No",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.271232876712329
"53",12351,2014-05-14,"Estalin Jiménez",239,788,"Waterboxx®",15,52,6,0.46,0.3,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.306849315068493
"54",12352,2014-05-28,"Estalin Jiménez",239,788,"Waterboxx®",15,60,8,0.57,0.33,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.345205479452055
"55",12353,2014-06-26,"Estalin Jiménez",239,788,"Waterboxx®",15,89,29,1,0.46,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,0.424657534246575
"56",42177,2016-01-18,"Soledad Morán",239,788,"Waterboxx®",15,400,311,0.54,0.53,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,1.98904109589041
"57",65976,2016-12-07,"Volunteer",239,788,"Waterboxx®",15,400,0,0,0.36,"No",1,"Sí","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,2.87671232876712
"58",69181,2017-05-05,"Jandry Vasquez",239,788,"Waterboxx®",15,400,0,0,0.32,"No",1,"Sí","Sí",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","altura real 310","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,3.28493150684932
"59",78432,2017-07-27,"Jandry Vasquez",239,788,"Waterboxx®",15,400,0,0,0.3,"Sí",1,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","303altura actual tallo roto","Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,3.51232876712329
"60",90549,2018-04-19,"Micaela Solis",239,788,"Waterboxx®",15,400,0,0,0.25,"No",0,"No","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso",NA,"Floreana","Anibal Sanmiguel",-1.299655,-90.447447,"Humífero",353.92,"Restauración ecológica","Restauración rural",NA,2014-01-22,4.24109589041096
"61",65,2013-05-15,"Estalin Jiménez",240,0,"Control",15,17,0,0,0,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299654,-90.447425,"Humífero",353.78,"Restauración ecológica","Restauración rural",NA,2013-05-15,0
"62",228,2013-05-29,"Estalin Jiménez",240,0,"Control",15,19,2,0.14,0.14,"No",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","Sin observaciones","Floreana","Anibal Sanmiguel",-1.299654,-90.447425,"Humífero",353.78,"Restauración ecológica","Restauración rural",NA,2013-05-15,0.0383561643835616
"63",519,2013-06-12,"Estalin Jiménez",240,0,"Control",15,20,1,0.07,0.11,"Sí",1,"Sí","No",0,0,"Húmeda","Asteraceae","Scalesia","pedunculata var. pedunculata Hook. f.","lechoso","arreglo_por_lixiviacion","Floreana","Anibal Sanmiguel",-1.299654,-90.447425,"Humífero",353.78,"Restauración ecológica","Restauración rural",NA,2013-05-15,0.0767123287671233
