Codigo,Fecha,Personal,Equipo de Medida,Distancia,Angulo superior,Angulo inferior,Altura 1 (cm),Altura 2 (cm),Altura total (cm),Circunferencia Pecho (cm),DAP,Circunferencia Base (cm),DAB,Estado,Observaciones,Isla,Sitio específico,Latitud,Longitud,Altitud,
9686,29/4/2022,Pavel Enriqez,Metro,,,,0,0,489,15.5,4.933804262,24.3,7.734931843,Bueno,,Santa Cruz,Finca Mario Piu,-0.702722,-90.354345,174.76,
9694,29/4/2022,Pavel Enriqez,Metro,,,,0,0,535,32,10.18591848,41,13.05070805,Bueno,,Santa Cruz,Finca Mario Piu,-0.702638,-90.354223,178.41,
9696,29/4/2022,Pavel Enriqez,Metro,,,,0,0,605,32,10.18591848,40,12.7323981,Bueno,,Santa Cruz,Finca Mario Piu,-0.70258,-90.354189,178.34,
9700,29/4/2022,Pavel Enriqez,Clinómetro,285,79.9,36.8,1600,130,1730,43,13.68732795,43,13.68732795,Bueno,,Santa Cruz,Finca Mario Piu,-0.702503,-90.354344,176.95,
9707,29/4/2022,Pavel Enriqez,Metro,,,,0,0,512,32.5,10.34507345,36.5,11.61831326,Bueno,,Santa Cruz,Finca Mario Piu,-0.702603,-90.354215,180.21,
9717,29/4/2022,Pavel Enriqez,Metro,,,,,,560,35,11.14084833,47,14.96056776,Bueno,,Santa Cruz,Finca Mario Piu,-0.702876,-90.354281,173.44,
9719,29/4/2022,Pavel Enriqez,Clinómetro,500,51.2,24.8,621.87,258,879.87,28.1,8.944509663,35.4,11.26817232,Bueno,,Santa Cruz,Finca Mario Piu,-0.702839,-90.35429,175.3,
9734,29/4/2022,Pavel Enriqez,Clinómetro,500,52,21.2,639.97,197,836.97,33.7,10.7270454,45.7,14.54676482,Bueno,,Santa Cruz,Finca Mario Piu,-0.702949,-90.353965,174.6,
9736,29/4/2022,Pavel Enriqez,Metro,,,,,,699,39,12.41408814,46,14.64225781,Bueno,,Santa Cruz,Finca Mario Piu,-0.702861,-90.35411,176.55,
9739,29/4/2022,Pavel Enriqez,Clinómetro,500,51.4,22,626.34,203,829.34,38,12.09577819,46,14.64225781,Bueno,,Santa Cruz,Finca Mario Piu,-0.702802,-90.354082,174.04,
9744,29/4/2022,Pavel Enriqez,Clinómetro,213,66,-,478.4,160,638.4,40,12.7323981,50,15.91549762,Bueno,,Santa Cruz,Finca Mario Piu,-0.702679,-90.35375,174.68,
9749,29/4/2022,Pavel Enriqez,Clinómetro,312,63.8,36.6,634.1,170,804.1,28,8.912678667,34,10.82253838,Bueno,,Santa Cruz,Finca Mario Piu,-0.70275,-90.353631,176.07,
9760,29/4/2022,Pavel Enriqez,Clinómetro,500,49.5,20.7,585.42,185,770.42,32.4,10.31324246,43.3,13.78282094,Bueno,,Santa Cruz,Finca Mario Piu,-0.703252,-90.354034,171.46,
9765,29/4/2022,Pavel Enriqez,Clinómetro,500,55,21.3,714.07,208,922.07,32.7,10.40873544,38.2,12.15944018,Bueno,,Santa Cruz,Finca Mario Piu,-0.703304,-90.353871,176.23,
9773,29/4/2022,Pavel Enriqez,Clinómetro,500,44.2,22.1,486.23,238,724.23,25.8,8.212396772,36.4,11.58648227,Bueno,,Santa Cruz,Finca Mario Piu,-0.70315,-90.353752,177.52,
