Código,Código control,Fecha siembra,Tratamiento,RetiroTratamiento,Agua inicial,Zona,Familia,Genero,Especie,Nombre común,Isla,Sitio específico,Latitud,Longitud,Sustrato,Altitud,Proyecto,Subproyecto
394,788,26/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299543,-90.447398,Humífero,344.05,Restauración ecológica,Restauración rural
395,789,26/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299538,-90.447354,Humífero,343.6,Restauración ecológica,Restauración rural
396,240,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299541,-90.447336,Humífero,340,Restauración ecológica,Restauración rural
397,242,12/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299541,-90.447302,Humífero,343.8,Restauración ecológica,Restauración rural
398,244,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299536,-90.447265,Humífero,344.15,Restauración ecológica,Restauración rural
399,251,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299538,-90.447248,Humífero,344.46,Restauración ecológica,Restauración rural
400,251,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299535,-90.447221,Humífero,344.2,Restauración ecológica,Restauración rural
401,259,12/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299587,-90.447322,Humífero,344.63,Restauración ecológica,Restauración rural
402,264,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299594,-90.447354,Humífero,344.58,Restauración ecológica,Restauración rural
403,264,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299591,-90.447376,Humífero,344.32,Restauración ecológica,Restauración rural
